ID;code;Valley;Station;Range;Altitude;Species;DD;Year;harv_num;harv;Date;Ntot1;Ntot;Mtot;oneacorn;VH;H;SH;tot_Germ;M_Germ;N_Germ;rate_Germ
Lu01Qu071_296_12;Lu01Qu071;Luz;Laveyron;100;131;Quercus;296;2012;NA;NA;22/10/2012;420;420;829.46;1.9761;416;27.4;83.69;0;NA;NA;NA
Lu01Qu038_296_12;Lu01Qu038;Luz;Laveyron;100;131;Quercus;296;2012;NA;NA;22/10/2012;69;69;208.03;3.014927536;1002;23.5;180.31;0;NA;NA;NA
Os12Qu012_296_12;Os12Qu012;Ossau;Gabas;1200;1194;Quercus;296;2012;NA;NA;22/10/2012;65;65;117.33;1.805076923;58.77;4.8;12.5;0;NA;NA;NA
Os16Qu006_296_12;Os16Qu006;Ossau;Artouste;1600;1614;Quercus;296;2012;NA;NA;22/10/2012;0;0;0;NA;;;;0;NA;NA;NA
Lu03Qu011_297_12;Lu03Qu011;Luz;Ibos;300;387;Quercus;297;2012;NA;NA;23/10/2012;1;1;0;NA;402;25.4;46.21;0;NA;NA;NA
Lu03Qu020_297_12;Lu03Qu020;Luz;Ibos;300;387;Quercus;297;2012;NA;NA;23/10/2012;2161;2161;3163.9;1.4644;444;27;78.35;0;NA;NA;NA
Lu03Qu050_297_12;Lu03Qu050;Luz;Ibos;300;387;Quercus;297;2012;NA;NA;23/10/2012;4791;4791;7472.66;1.5597;981;31;99.87;0;NA;NA;NA
Lu08Qu009_297_12;Lu08Qu009;Luz;Papillon;800;803;Quercus;297;2012;NA;NA;23/10/2012;662;662;550.74;0.831933535;233;10.3;29.54;0;NA;NA;NA
Lu08Qu018_297_12;Lu08Qu018;Luz;Papillon;800;803;Quercus;297;2012;NA;NA;23/10/2012;1870;1870;2412.42;1.29;254;10.5;28.1;0;NA;NA;NA
Lu08Qu014_297_12;Lu08Qu014;Luz;Papillon;800;803;Quercus;297;2012;NA;NA;23/10/2012;61;61;123.55;2.025409836;199;10.3;43.13;0;NA;NA;NA
Lu12Qu001_297_12;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;297;2012;NA;NA;23/10/2012;6854;6854;13715.29;2.0049;1479;17.5;96.84;0;NA;NA;NA
Lu16Qu037_297_12;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;297;2012;NA;NA;23/10/2012;248;248;23.77;0.72030303;760.08;14.56;54.88;0;NA;NA;NA
Lu12Qu008_298_12;Lu12Qu008;Luz;Gedre-Bas;1200;1235;Quercus;298;2012;NA;NA;24/10/2012;0;0;0;NA;178;14;49.61;0;NA;NA;NA
Lu12Qu010_298_12;Lu12Qu010;Luz;Gedre-Bas;1200;1235;Quercus;298;2012;NA;NA;24/10/2012;1484;1484;2370;1.6186;103;21;48.5;0;NA;NA;NA
Os12Qu012_310_12;Os12Qu012;Ossau;Gabas;1200;1194;Quercus;310;2012;NA;NA;05/11/2012;0;0;0;NA;58.77;4.8;12.5;0;NA;NA;NA
Os16Qu006_310_12;Os16Qu006;Ossau;Artouste;1600;1614;Quercus;310;2012;NA;NA;05/11/2012;2;2;0;NA;;;;0;NA;NA;NA
Lu01Qu071_311_12;Lu01Qu071;Luz;Laveyron;100;131;Quercus;311;2012;NA;NA;06/11/2012;302;302;369.3;1.222847682;416;27.4;83.69;0;NA;NA;NA
Lu03Qu011_311_12;Lu03Qu011;Luz;Ibos;300;387;Quercus;311;2012;NA;NA;06/11/2012;1157;1157;2039;1.7659;402;25.4;46.21;0;NA;NA;NA
Lu03Qu020_311_12;Lu03Qu020;Luz;Ibos;300;387;Quercus;311;2012;NA;NA;06/11/2012;127;127;268.57;2.114724409;444;27;78.35;0;NA;NA;NA
Lu03Qu050_311_12;Lu03Qu050;Luz;Ibos;300;387;Quercus;311;2012;NA;NA;06/11/2012;1719;1719;3081.26;1.792472368;981;31;99.87;0;NA;NA;NA
Lu08Qu009_311_12;Lu08Qu009;Luz;Papillon;800;803;Quercus;311;2012;NA;NA;06/11/2012;992;992;1063;1.08725;233;10.3;29.54;0;NA;NA;NA
Lu08Qu014_311_12;Lu08Qu014;Luz;Papillon;800;803;Quercus;311;2012;NA;NA;06/11/2012;191;191;219.87;1.151151832;199;10.3;43.13;0;NA;NA;NA
Lu08Qu018_311_12;Lu08Qu018;Luz;Papillon;800;803;Quercus;311;2012;NA;NA;06/11/2012;1910;1910;2647.13;1.385931937;254;10.5;28.1;0;NA;NA;NA
Lu12Qu001_312_12;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;312;2012;NA;NA;07/11/2012;4872;4872;9051;1.8692;1479;17.5;96.84;0;NA;NA;NA
Lu12Qu008_312_12;Lu12Qu008;Luz;Gedre-Bas;1200;1235;Quercus;312;2012;NA;NA;07/11/2012;1461;1461;2559;1.755144033;178;14;49.61;0;NA;NA;NA
Lu16Qu037_312_12;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;312;2012;NA;NA;07/11/2012;76;76;1.61;0.322;760.08;14.56;54.88;0;NA;NA;NA
Os01Qu018_318_12;Os01Qu018;Ossau;Josbaig;100;259;Quercus;318;2012;NA;NA;13/11/2012;0;0;0;NA;632;14.5;61.86;0;NA;NA;NA
Lu08Qu009_323_12;Lu08Qu009;Luz;Papillon;800;803;Quercus;323;2012;NA;NA;18/11/2012;746;746;930.28;1.25845;233;10.3;29.54;0;NA;NA;NA
Lu08Qu018_323_12;Lu08Qu018;Luz;Papillon;800;803;Quercus;323;2012;NA;NA;18/11/2012;776;776;1640.1;2.1165;254;10.5;28.1;0;NA;NA;NA
Lu16Qu037_324_12;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;324;2012;NA;NA;19/11/2012;0;0;0;NA;760.08;14.56;54.88;0;NA;NA;NA
Lu08Qu009_338_12;Lu08Qu009;Luz;Papillon;800;803;Quercus;338;2012;NA;NA;03/12/2012;162;162;196.59;1.268322581;233;10.3;29.54;0;NA;NA;NA
Lu08Qu014_338_12;Lu08Qu014;Luz;Papillon;800;803;Quercus;338;2012;NA;NA;03/12/2012;5;5;6.78;1.356;199;10.3;43.13;0;NA;NA;NA
Lu08Qu018_338_12;Lu08Qu018;Luz;Papillon;800;803;Quercus;338;2012;NA;NA;03/12/2012;313;313;658.26;2.103;254;10.5;28.1;0;NA;NA;NA
Lu12Qu001_338_12;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;338;2012;NA;NA;03/12/2012;114;114;121.9;1.078761062;1479;17.5;96.84;0;NA;NA;NA
Lu12Qu001_352_12;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;352;2012;NA;NA;17/12/2012;30;30;18.78;0.988421053;1479;17.5;96.84;0;NA;NA;NA
Lu12Qu008_352_12;Lu12Qu008;Luz;Gedre-Bas;1200;1235;Quercus;352;2012;NA;NA;17/12/2012;18;18;8.98;0.898;178;14;49.61;0;NA;NA;NA
Lu12Qu010_352_12;Lu12Qu010;Luz;Gedre-Bas;1200;1235;Quercus;352;2012;NA;NA;17/12/2012;57;57;39.03;0.736415094;103;21;48.5;0;NA;NA;NA
Lu01Qu038_260_13;Lu01Qu038;Luz;Laveyron;100;131;Quercus;260;2013;NA;NA;18/09/2013;389;389;123.3;0.3169;1002;23.5;180.31;0;NA;NA;NA
Lu16Qu037_261_13;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;261;2013;NA;NA;19/09/2013;0;0;0;NA;760.08;14.56;54.88;0;NA;NA;NA
Lu16Qu038_261_13;Lu16Qu038;Luz;Peguere;1600;1630;Quercus;261;2013;NA;NA;19/09/2013;0;0;0;NA;62.77;5.87;10.69;0;NA;NA;NA
Lu08Qu009_262_13;Lu08Qu009;Luz;Papillon;800;803;Quercus;262;2013;NA;NA;20/09/2013;0;0;0;NA;233;10.3;29.54;0;NA;NA;NA
Lu12Qu001_273_13;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;273;2013;NA;NA;30/09/2013;0;0;0;NA;1479;17.5;96.84;0;NA;NA;NA
Lu03Qu011_274_13;Lu03Qu011;Luz;Ibos;300;387;Quercus;274;2013;NA;NA;01/10/2013;264;264;96.83;0.3674;402;25.4;46.21;0;NA;NA;NA
Lu03Qu020_274_13;Lu03Qu020;Luz;Ibos;300;387;Quercus;274;2013;NA;NA;10/10/2013;501;501;190.96;0.3945;444;27;78.35;0;NA;NA;NA
Os08Qu022_283_13;Os08Qu022;Ossau;Le-Hourcq;800;841;Quercus;283;2013;NA;NA;10/10/2013;0;0;0;NA;653.27;24.75;49.3;0;NA;NA;NA
Os01Qu018_283_13;Os01Qu018;Ossau;Josbaig;100;259;Quercus;283;2013;NA;NA;10/10/2013;380;380;378.5;0.9964;632;14.5;61.86;0;NA;NA;NA
Os08Qu010_283_13;Os08Qu010;Ossau;Le-Hourcq;800;841;Quercus;283;2013;NA;NA;10/10/2013;0;0;0;NA;1060.25;30.1;54.65;0;NA;NA;NA
Os01Qu010_283_13;Os01Qu010;Ossau;Josbaig;100;259;Quercus;284;2013;NA;NA;11/10/2013;4509;4509;7407;1.6427;1225;26.5;172.07;0;NA;NA;NA
Lu01Qu038_317_13;Lu01Qu038;Luz;Laveyron;100;131;Quercus;317;2013;NA;NA;13/11/2013;15311;15311;14584;0.9525;1002;23.5;180.31;0;NA;NA;NA
Lu01Qu071_317_13;Lu01Qu071;Luz;Laveyron;100;131;Quercus;317;2013;NA;NA;13/11/2013;8234;8234;10218;1.2409;416;27.4;83.69;0;NA;NA;NA
Os01Qu018_322_13;Os01Qu018;Ossau;Josbaig;100;259;Quercus;322;2013;NA;NA;18/11/2013;602;602;1205.8;2.0134;632;14.5;61.86;0;NA;NA;NA
Os01Qu010_322_13;Os01Qu010;Ossau;Josbaig;100;259;Quercus;322;2013;NA;NA;18/11/2013;2107;2107;5474;2.5975;1225;26.5;172.07;0;NA;NA;NA
Lu03Qu011_323_13;Lu03Qu011;Luz;Ibos;300;387;Quercus;323;2013;NA;NA;19/11/2013;374;374;280.16;0.7967;402;25.4;46.21;0;NA;NA;NA
Lu03Qu020_323_13;Lu03Qu020;Luz;Ibos;300;387;Quercus;323;2013;NA;NA;19/11/2013;645;645;497.2;0.7872;444;27;78.35;0;NA;NA;NA
Lu03Qu050_323_13;Lu03Qu050;Luz;Ibos;300;387;Quercus;323;2013;NA;NA;19/11/2013;271;271;243.48;0.9167;981;31;99.87;0;NA;NA;NA
Lu12Qu010_343_13;Lu12Qu010;Luz;Gedre-Bas;1200;1235;Quercus;343;2013;NA;NA;09/12/2013;16;16;3.56;0.2225;1479;17.5;96.84;0;NA;NA;NA
Lu01Qu012_247_14;Lu01Qu012;Luz;Laveyron;100;131;Quercus;247;2014;1;247;04/09/2014;666.5805451;666.5805451;516;0.7741;4197;25.8;218.5;0;NA;NA;NA
Lu01Qu038_247_14;Lu01Qu038;Luz;Laveyron;100;131;Quercus;247;2014;1;247;04/09/2014;487.6244666;487.6244666;171.4;0.3515;1002;23.5;180.31;0;NA;NA;NA
Lu01Qu071_247_14;Lu01Qu071;Luz;Laveyron;100;131;Quercus;247;2014;1;247;04/09/2014;73;73;26.21999999;0.359178082;416;27.4;83.69;0;NA;NA;NA
Lu01Qu012_281_14;Lu01Qu012;Luz;Laveyron;100;131;Quercus;281;2014;2;279;08/10/2014;8862.047823;8887.047823;7227;0.8155;4197;25.8;218.5;25;99.05;11;0.44
Lu01Qu038_281_14;Lu01Qu038;Luz;Laveyron;100;131;Quercus;281;2014;2;279;08/10/2014;12842.86643;12866.86643;15807;1.2308;1002;23.5;180.31;24;73.7;19;0.791666667
Lu01Qu071_281_14;Lu01Qu071;Luz;Laveyron;100;131;Quercus;281;2014;2;279;08/10/2014;2449.260406;2474.260406;2136;0.8721;416;27.4;83.69;25;68.35;12;0.48
Lu03Qu011_279_14;Lu03Qu011;Luz;Ibos;300;387;Quercus;279;2014;2;279;06/10/2014;2694.970474;2719.970474;2647;0.9822;402;25.4;46.21;25;84.01;7;0.28
Lu03Qu020_279_14;Lu03Qu020;Luz;Ibos;300;387;Quercus;279;2014;2;279;06/10/2014;1306.059569;1331.059569;763.0000002;0.5842;444;27;78.35;25;69.98;10;0.4
Lu03Qu050_279_14;Lu03Qu050;Luz;Ibos;300;387;Quercus;279;2014;2;279;06/10/2014;1242.035188;1267.035188;1306;1.0515;981;31;99.87;25;78.69;14;0.56
Lu08Qu009_280_14;Lu08Qu009;Luz;Papillon;800;803;Quercus;280;2014;2;279;07/10/2014;530.9201437;555.9201437;192.14;0.3619;233;10.3;29.54;25;30.42;7;0.28
Lu08Qu014_280_14;Lu08Qu014;Luz;Papillon;800;803;Quercus;280;2014;2;279;07/10/2014;173.0791284;198.0791284;60.36999999;0.3488;199;10.3;43.13;25;30.83;8;0.32
Lu08Qu018_280_14;Lu08Qu018;Luz;Papillon;800;803;Quercus;280;2014;2;279;07/10/2014;591.2942989;616.2942989;307;0.5192;254;10.5;28.1;25;48.21;0;0
Lu12Qu001_279_14;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;279;2014;2;279;06/10/2014;2832.328961;2857.328961;798.9999999;0.2821;1479;17.5;96.84;25;23.23;2;0.08
Lu12Qu008_279_14;Lu12Qu008;Luz;Gedre-Bas;1200;1235;Quercus;279;2014;2;279;06/10/2014;737.1794872;762.1794872;207;0.2808;178;14;49.61;25;29.17;2;0.08
Lu12Qu010_279_14;Lu12Qu010;Luz;Gedre-Bas;1200;1235;Quercus;279;2014;2;279;06/10/2014;0;25;NA;NA;103;21;48.5;25;34.8;1;0.04
Lu16Qu036_280_14;Lu16Qu036;Luz;Peguere;1600;1630;Quercus;280;2014;2;279;07/10/2014;0;0;0;NA;801.97;13.1;74.95;0;NA;NA;NA
Lu16Qu037_280_14;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;280;2014;2;279;07/10/2014;0;0;0;NA;760.08;14.56;54.88;0;NA;NA;NA
Lu16Qu038_280_14;Lu16Qu038;Luz;Peguere;1600;1630;Quercus;280;2014;2;279;07/10/2014;0;0;0;NA;62.77;5.87;10.69;0;NA;NA;NA
Os01Qu018_279_14;Os01Qu018;Ossau;Josbaig;100;259;Quercus;279;2014;2;279;06/10/2014;579.1597437;605.1597437;976.0000001;1.6852;632;14.5;61.86;26;101.04;14;0.56
Os01Qu010_279_14;Os01Qu010;Ossau;Josbaig;100;259;Quercus;279;2014;2;279;06/10/2014;7908.792412;7933.792412;10839;1.3705;1225;26.5;172.07;25;78.75;3;0.115384615
Os04Qu024_279_14;Os04Qu024;Ossau;Bager;300;422;Quercus;279;2014;2;279;06/10/2014;0;0;0;NA;337;27.8;80.63;0;NA;NA;NA
Os04Qu006_279_14;Os04Qu006;Ossau;Bager;300;422;Quercus;279;2014;2;279;06/10/2014;0;0;0;NA;96;31;33.34;0;NA;NA;NA
Os08Qu010_279_14;Os08Qu010;Ossau;Le-Hourcq;800;841;Quercus;279;2014;2;279;06/10/2014;4;4;0.77;0.1925;1060.25;30.1;54.65;0;NA;NA;NA
Os08Qu022_279_14;Os08Qu022;Ossau;Le-Hourcq;800;841;Quercus;279;2014;2;279;06/10/2014;33;33;10.12000001;0.306666667;653.27;24.75;49.3;0;NA;NA;NA
Os12Qu012_279_14;Os12Qu012;Ossau;Gabas;1200;1194;Quercus;279;2014;2;279;06/10/2014;5;13;2.0125;0.4025;58.77;4.8;12.5;8;9.27;0;0
Os12Qu013_279_14;Os12Qu013;Ossau;Gabas;1200;1194;Quercus;279;2014;2;279;06/10/2014;0;0;0;NA;188;9.6;24.1;0;NA;NA;NA
Os16Qu004_280_14;Os16Qu004;Ossau;Artouste;1600;1614;Quercus;280;2014;2;279;07/10/2014;0;0;0;NA;157.12;5.2;31.42;0;NA;NA;NA
Os16Qu010_280_14;Os16Qu010;Ossau;Artouste;1600;1614;Quercus;280;2014;2;279;07/10/2014;0;0;0;NA;116.11;15.8;15.38;0;NA;NA;NA
Lu01Qu012_297_14;Lu01Qu012;Luz;Laveyron;100;131;Quercus;297;2014;3;294;24/10/2014;3895.819509;3920.819509;5871;1.507;4197;25.8;218.5;25;88.13;8;0.32
Lu01Qu038_297_14;Lu01Qu038;Luz;Laveyron;100;131;Quercus;297;2014;3;294;24/10/2014;1345.48507;1370.48507;2244;1.6678;1002;23.5;180.31;25;91.33;24;0.96
Lu01Qu071_297_14;Lu01Qu071;Luz;Laveyron;100;131;Quercus;297;2014;3;294;24/10/2014;3177.91762;3202.91762;3333;1.0488;416;27.4;83.69;25;90.03;19;0.76
Lu03Qu011_297_14;Lu03Qu011;Luz;Ibos;300;387;Quercus;297;2014;3;294;24/10/2014;343.5966087;368.5966087;462.0000001;1.3446;402;25.4;46.21;25;108.31;17;0.68
Lu03Qu020_297_14;Lu03Qu020;Luz;Ibos;300;387;Quercus;297;2014;3;294;24/10/2014;1207.201889;1232.201889;2454;2.0328;444;27;78.35;25;92.37;17;0.708333333
Lu03Qu050_297_14;Lu03Qu050;Luz;Ibos;300;387;Quercus;297;2014;3;294;24/10/2014;1580.874435;1605.874435;2936.000001;1.8572;981;31;99.87;25;131.65;21;0.84
Lu08Qu009_295_14;Lu08Qu009;Luz;Papillon;800;803;Quercus;295;2014;3;294;22/10/2014;440.2488108;465.2488108;240.64;0.5466;233;10.3;29.54;25;47.36;6;0.24
Lu08Qu014_295_14;Lu08Qu014;Luz;Papillon;800;803;Quercus;295;2014;3;294;22/10/2014;363.0560543;388.0560543;182;0.5013;199;10.3;43.13;25;45.29;11;0.44
Lu08Qu018_295_14;Lu08Qu018;Luz;Papillon;800;803;Quercus;295;2014;3;294;22/10/2014;720.5795966;745.5795966;736;1.0214;254;10.5;28.1;25;84.48;13;0.52
Lu12Qu001_295_14;Lu12Qu001;Luz;Gedre-Bas;1200;1235;Quercus;295;2014;3;294;22/10/2014;1866.334874;1891.334874;1050;0.5626;1479;17.5;96.84;25;33.3;2;0.08
Lu12Qu008_295_14;Lu12Qu008;Luz;Gedre-Bas;1200;1235;Quercus;295;2014;3;294;22/10/2014;970.135058;995.135058;510;0.5257;178;14;49.61;25;29.21;7;0.269230769
Lu12Qu010_295_14;Lu12Qu010;Luz;Gedre-Bas;1200;1235;Quercus;295;2014;3;294;22/10/2014;323.0904302;348.0904302;184;0.5695;103;21;48.5;25;61.35;14;0.56
Lu16Qu036_296_14;Lu16Qu036;Luz;Peguere;1600;1630;Quercus;296;2014;3;294;23/10/2014;0;0;0;NA;801.97;13.1;74.95;0;NA;NA;NA
Lu16Qu037_296_14;Lu16Qu037;Luz;Peguere;1600;1630;Quercus;296;2014;3;294;23/10/2014;0;0;0;NA;760.08;14.56;54.88;0;NA;NA;NA
Lu16Qu038_296_14;Lu16Qu038;Luz;Peguere;1600;1630;Quercus;296;2014;3;294;23/10/2014;1;1;0.22;0.22;62.77;5.87;10.69;0;NA;NA;NA
Os01Qu018_294_14;Os01Qu018;Ossau;Josbaig;100;259;Quercus;294;2014;3;294;21/10/2014;381.3729426;406.3729426;855;2.2419;632;14.5;61.86;25;147.78;18;0.72
Os01Qu010_294_14;Os01Qu010;Ossau;Josbaig;100;259;Quercus;294;2014;3;294;21/10/2014;527.6462995;552.6462995;981;1.8592;1225;26.5;172.07;25;86.57;16;0.64
Os04Qu024_294_14;Os04Qu024;Ossau;Bager;300;422;Quercus;294;2014;3;294;21/10/2014;0;0;0;NA;337;27.8;80.63;3;2.64;1;0.333333333
Os04Qu006_294_14;Os04Qu006;Ossau;Bager;300;422;Quercus;294;2014;3;294;21/10/2014;0;0;0;NA;96;31;33.34;0;NA;NA;NA
Os08Qu010_294_14;Os08Qu010;Ossau;Le-Hourcq;800;841;Quercus;294;2014;3;294;21/10/2014;5;5;1.64;0.328;1060.25;30.1;54.65;0;NA;NA;NA
Os08Qu022_294_14;Os08Qu022;Ossau;Le-Hourcq;800;841;Quercus;294;2014;3;294;21/10/2014;5;5;1.3;0.26;653.27;24.75;49.3;0;NA;NA;NA
Os12Qu012_294_14;Os12Qu012;Ossau;Gabas;1200;1194;Quercus;294;2014;3;294;21/10/2014;64;89;18.15;0.28359375;58.77;4.8;12.5;25;15.87;0;0
Os12Qu013_294_14;Os12Qu013;Ossau;Gabas;1200;1194;Quercus;294;2014;3;294;21/10/2014;264.7551546;289.7551546;41.08999999;0.1552;188;9.6;24.1;25;12.35;1;0.04
Os16Qu004_295_14;Os16Qu004;Ossau;Artouste;1600;1614;Quercus;295;2014;3;294;22/10/2014;0;0;0;NA;157.12;5.2;31.42;0;NA;NA;NA
Os16Qu010_295_14;Os16Qu010;Ossau;Artouste;1600;1614;Quercus;295;2014;3;294;22/10/2014;3;3;0.440000001;0.146666667;116.11;15.8;15.38;0;NA;NA;NA
